"YEAR","NTA2020","Pop1","MaleP","MdAge","Hsp1P","WNHP","BNHP","ANHP","OthNHP","MIncome"
2013,"QN0105",28778,46.9,34.8,35.51,21.17,22.67,16.75,3.9,33552.91
2014,"QN0105",29375,47.1,34.8,34.88,21.46,22.26,17.3,4.1,35974.88
2015,"QN0105",29972,47.3,34.8,34.25,21.75,21.85,17.85,4.3,33916.98
2016,"QN0105",30568,47.5,34.9,33.62,22.04,21.44,18.4,4.5,36607.96
2017,"QN0105",31164,47.7,34.9,32.99,22.33,21.03,18.95,4.7,45625.97
2018,"QN0105",31761,47.9,34.9,32.36,22.62,20.62,19.5,4.9,48200.75
2019,"QN0105",32358,48.1,34.9,31.73,22.91,20.21,20.05,5.1,41595.7
2020,"QN0105",32954,48.34,34.9,31.13,23.16,19.78,20.63,5.3,52292
2010,"QN0151",11091,91.78,31.5,34.07,7.05,55.96,0.29,2.63,0
2011,"QN0151",10359,92.06,31.7,34.03,7.08,56.16,0.43,2.3,0
2012,"QN0151",9627,92.32,31.8,33.96,7.06,56.32,0.56,2.1,0
2013,"QN0151",8895,92.58,32,33.9,7.04,56.48,0.69,1.9,0
2014,"QN0151",8163,92.85,32.1,33.82,7.02,56.65,0.82,1.69,0
2015,"QN0151",7432,93.1,32.3,33.75,7,56.79,0.96,1.51,0
2016,"QN0151",6700,93.36,32.5,33.69,6.99,56.96,1.07,1.3,0
2017,"QN0151",5968,93.62,32.6,33.61,6.95,57.12,1.21,1.11,0
2018,"QN0151",5236,93.89,32.8,33.54,6.93,57.28,1.34,0.92,0
2019,"QN0151",4504,94.14,32.9,33.46,6.93,57.44,1.47,0.71,0
2020,"QN0151",3772,94.38,33.1,33.38,6.89,57.58,1.56,0.58,0
2010,"QN0161",8,62.5,35,25,50,0,25,0,0
2011,"QN0161",10,60,34.6,30,50,0,20,0,0
2012,"QN0161",12,58.33,34.2,25,41.67,8.33,25,0,0
2013,"QN0161",14,57.14,33.9,28.57,35.71,7.14,21.43,7.14,0
2014,"QN0161",16,56.25,33.5,31.25,31.25,12.5,25,0,0
2015,"QN0161",18,55.56,33.1,27.78,27.78,11.11,22.22,11.11,0
2016,"QN0161",19,57.89,32.7,31.58,21.05,15.79,21.05,10.53,0
2017,"QN0161",21,57.14,32.3,28.57,19.05,19.05,23.81,9.52,0
2018,"QN0161",23,52.17,32,30.43,13.04,21.74,21.74,13.04,0
2019,"QN0161",25,52,31.6,32,8,24,24,12,0
2020,"QN0161",27,51.85,31.2,33.33,3.7,25.93,22.22,14.81,0
2010,"QN0171",0,0,0,0,0,0,0,0,0
2011,"QN0171",0,0,0,0,0,0,0,0,0
2012,"QN0171",1,0,18,0,0,0,0,100,0
2013,"QN0171",1,0,18,0,0,0,0,100,0
2014,"QN0171",2,0,18,0,0,0,0,100,0
2015,"QN0171",2,50,18,50,0,0,0,50,0
2016,"QN0171",3,33.33,18,33.33,0,0,0,66.67,0
2017,"QN0171",4,50,18,50,0,0,0,50,0
2018,"QN0171",4,50,18,50,0,0,0,50,0
2019,"QN0171",4,50,18,50,0,0,0,50,0
2020,"QN0171",5,60,19,60,0,0,0,40,0
2010,"QN0191",3,33.33,42.5,0,33.33,33.33,33.33,0,0
2011,"QN0191",3,33.33,38.2,0,33.33,33.33,33.33,0,0
2012,"QN0191",2,50,34,0,50,50,50,-50,0
2013,"QN0191",2,0,29.8,0,0,0,0,100,0
2014,"QN0191",2,0,25.5,0,0,0,0,100,0
2015,"QN0191",2,0,21.2,0,0,0,0,100,0
2016,"QN0191",1,0,18,0,0,0,0,100,0
2017,"QN0191",1,0,18,0,0,0,0,100,0
2018,"QN0191",1,0,18,0,0,0,0,100,0
2019,"QN0191",0,0,0,0,0,0,0,0,0
2020,"QN0191",0,0,0,0,0,0,0,0,0
2010,"QN0201",10815,54.09,33.8,17.32,55.7,4.51,19.04,3.43,101739.22
2011,"QN0201",12955,53.79,33.7,16.77,54.58,4.39,20.49,3.77,106223.71
2012,"QN0201",15095,53.48,33.6,16.24,53.46,4.28,21.98,4.04,110708.19
2013,"QN0201",17235,53.17,33.4,15.71,52.34,4.17,23.47,4.31,115192.68
2014,"QN0201",19375,52.86,33.3,15.18,51.22,4.06,24.96,4.58,119677.16
2015,"QN0201",21516,52.55,33.2,14.65,50.1,3.95,26.45,4.85,124161.65
2016,"QN0201",23656,52.24,33.1,14.12,48.98,3.84,27.94,5.12,128646.13
2017,"QN0201",25796,51.93,33,13.59,47.86,3.73,29.43,5.39,133130.62
2018,"QN0201",27936,51.62,32.8,13.06,46.74,3.62,30.92,5.66,137615.1
2019,"QN0201",30076,51.31,32.7,12.53,45.62,3.51,32.41,5.92,142099.59
2020,"QN0201",32216,51.03,32.6,12.05,44.53,3.45,33.92,6.06,149131.78
2010,"QN0202",52441,50.11,35.9,38.37,31.26,2.1,25.41,2.87,52861.88
2011,"QN0202",52425,50.06,36.1,38.19,31.31,2.22,25.37,2.91,53462.09
2012,"QN0202",52408,50.02,36.3,37.98,31.32,2.34,25.34,3.02,54001.04
2013,"QN0202",52392,49.98,36.5,37.77,31.33,2.46,25.31,3.13,55252.69
2014,"QN0202",52376,49.94,36.7,37.56,31.34,2.58,25.28,3.24,56674.14
2015,"QN0202",52359,49.9,36.9,37.35,31.35,2.7,25.25,3.35,56953.75
2016,"QN0202",52343,49.86,37.1,37.14,31.36,2.82,25.22,3.46,61123.04
2017,"QN0202",52327,49.82,37.3,36.93,31.37,2.94,25.19,3.57,64499.98
2018,"QN0202",52311,49.78,37.5,36.72,31.38,3.06,25.16,3.68,66612.67
2019,"QN0202",52294,49.74,37.7,36.51,31.39,3.18,25.13,3.79,66683.66
2020,"QN0202",52278,49.69,37.9,36.26,31.36,3.28,25.1,3.99,70358.04
2010,"QN0203",49721,50.53,36,34.51,20.12,1.09,41.71,2.57,51829
2011,"QN0203",50068,50.39,36.3,34.39,19.69,1.17,42.16,2.59,51266.63
2012,"QN0203",50414,50.28,36.5,34.28,19.28,1.24,42.62,2.58,53594.96
2013,"QN0203",50761,50.17,36.8,34.17,18.87,1.31,43.08,2.57,52499.52
2014,"QN0203",51108,50.06,37,34.06,18.46,1.38,43.54,2.56,51920.69
2015,"QN0203",51454,49.95,37.3,33.95,18.05,1.45,44,2.55,51638.1
2016,"QN0203",51801,49.84,37.6,33.84,17.64,1.52,44.46,2.54,53182.72
2017,"QN0203",52148,49.73,37.8,33.73,17.23,1.59,44.92,2.53,60085.04
2018,"QN0203",52495,49.62,38.1,33.62,16.82,1.66,45.38,2.52,61882.03
2019,"QN0203",52841,49.51,38.3,33.51,16.41,1.73,45.84,2.51,61572.77
2020,"QN0203",53188,49.44,38.6,33.37,15.98,1.77,46.31,2.57,62870.45
2010,"QN0261",0,0,0,0,0,0,0,0,0
2011,"QN0261",4,0,18,0,0,0,0,100,0
2012,"QN0261",7,14.29,18,0,0,0,0,100,0
2013,"QN0261",11,18.18,18,9.09,9.09,9.09,0,72.73,0
2014,"QN0261",14,21.43,18.7,14.29,7.14,7.14,0,71.43,0
2015,"QN0261",18,27.78,23.4,16.67,11.11,11.11,5.56,55.56,0
2016,"QN0261",22,31.82,28,18.18,13.64,13.64,4.55,50,0
2017,"QN0261",25,36,32.7,20,16,16,4,44,0
2018,"QN0261",29,41.38,37.4,24.14,17.24,20.69,6.9,31.03,0
2019,"QN0261",32,46.88,42,28.12,18.75,21.88,6.25,25,0
2020,"QN0261",36,52.78,46.7,30.56,22.22,25,8.33,13.89,0
2010,"QN0271",27,44.44,29.1,96.3,0,0,0,3.7,0
2011,"QN0271",24,41.67,26.2,87.5,0,0,0,12.5,0
2012,"QN0271",22,36.36,23.3,77.27,0,0,0,22.73,0
2013,"QN0271",19,31.58,20.4,68.42,0,0,0,31.58,0
2014,"QN0271",16,25,18,56.25,0,0,0,43.75,0
2015,"QN0271",13,23.08,18,46.15,0,0,0,53.85,0
2016,"QN0271",11,18.18,18,36.36,0,0,0,63.64,0
2017,"QN0271",8,12.5,18,25,0,0,0,75,0
2018,"QN0271",5,0,18,20,0,0,0,80,0
2019,"QN0271",3,0,18,0,0,0,0,100,0
2020,"QN0271",0,0,0,0,0,0,0,0,0
2010,"QN0301",100866,50.63,37.1,55.96,17.71,1.68,22.41,2.24,50772.25
2011,"QN0301",100964,50.53,37.4,55.73,17.43,1.69,22.87,2.28,51634.88
2012,"QN0301",101062,50.46,37.7,55.46,17.16,1.68,23.34,2.36,51135.91
2013,"QN0301",101161,50.39,38.1,55.19,16.89,1.67,23.81,2.44,50963.18
2014,"QN0301",101259,50.32,38.4,54.92,16.62,1.66,24.28,2.52,50827.67
2015,"QN0301",101357,50.25,38.7,54.65,16.35,1.65,24.75,2.6,54345.69
2016,"QN0301",101455,50.18,39,54.38,16.08,1.64,25.22,2.68,55724.39
2017,"QN0301",101553,50.11,39.3,54.11,15.81,1.63,25.69,2.76,59731.67
2018,"QN0301",101652,50.04,39.7,53.84,15.54,1.62,26.16,2.84,61506.41
2019,"QN0301",101750,49.97,40,53.57,15.27,1.61,26.63,2.92,63614.72
2020,"QN0301",101848,49.93,40.3,53.29,15.03,1.57,27.08,3.03,63464.91
2010,"QN0302",30436,49.83,33.7,63.63,5.91,20.99,7.21,2.26,54944.9
2011,"QN0302",30750,49.81,33.9,63.68,5.83,20.38,7.72,2.39,56099.41
2012,"QN0302",31063,49.82,34.1,63.76,5.76,19.76,8.24,2.48,55416.49
2013,"QN0302",31377,49.83,34.3,63.84,5.69,19.14,8.76,2.57,54618.57
2014,"QN0302",31691,49.84,34.5,63.92,5.62,18.52,9.28,2.66,54786.59
2015,"QN0302",32004,49.85,34.8,64,5.55,17.9,9.8,2.75,50109.06
2016,"QN0302",32318,49.86,35,64.08,5.48,17.28,10.32,2.84,49400.67
2017,"QN0302",32632,49.87,35.2,64.16,5.41,16.66,10.84,2.93,58913.52
2018,"QN0302",32946,49.88,35.4,64.24,5.34,16.04,11.36,3.02,60054.02
2019,"QN0302",33259,49.89,35.6,64.32,5.27,15.42,11.88,3.11,55004.7
2020,"QN0302",33573,49.86,35.8,64.43,5.24,14.84,12.37,3.13,62106.73
2010,"QN0303",40112,55.68,29.4,85.44,1.68,6.48,5.16,1.24,45816.77
2011,"QN0303",40444,55.53,29.8,85.49,1.66,6.33,5.27,1.25,46041.58
2012,"QN0303",40776,55.36,30.1,85.58,1.62,6.16,5.34,1.3,46592.39
2013,"QN0303",41109,55.19,30.5,85.67,1.58,5.99,5.41,1.35,48755.63
2014,"QN0303",41441,55.02,30.9,85.76,1.54,5.82,5.48,1.4,48011.8
2015,"QN0303",41773,54.85,31.3,85.85,1.5,5.65,5.55,1.45,47961.1
2016,"QN0303",42105,54.68,31.6,85.94,1.46,5.48,5.62,1.5,49542.01
2017,"QN0303",42437,54.51,32,86.03,1.42,5.31,5.69,1.55,59257.5
2018,"QN0303",42770,54.34,32.4,86.12,1.38,5.14,5.76,1.6,61927.61
2019,"QN0303",43102,54.17,32.7,86.21,1.34,4.97,5.83,1.65,67551.04
2020,"QN0303",43434,54.01,33.1,86.32,1.29,4.84,5.85,1.71,66159.19
2010,"QN0401",103494,50.95,35.3,42.43,7.08,1.23,47.02,2.23,46016.05
2011,"QN0401",103931,50.91,35.6,42.11,6.9,1.23,47.47,2.29,48553.87
2012,"QN0401",104368,50.82,35.9,41.82,6.7,1.26,47.94,2.28,47580.62
2013,"QN0401",104805,50.73,36.1,41.53,6.5,1.29,48.41,2.27,48520.21
2014,"QN0401",105242,50.64,36.4,41.24,6.3,1.32,48.88,2.26,49430.64
2015,"QN0401",105679,50.55,36.7,40.95,6.1,1.35,49.35,2.25,48463.96
2016,"QN0401",106116,50.46,37,40.66,5.9,1.38,49.82,2.24,46322.84
2017,"QN0401",106553,50.37,37.3,40.37,5.7,1.41,50.29,2.23,54412.92
2018,"QN0401",106990,50.28,37.5,40.08,5.5,1.44,50.76,2.22,55926.84
2019,"QN0401",107427,50.19,37.8,39.79,5.3,1.47,51.23,2.21,55244.14
2020,"QN0401",107864,50.05,38.1,39.49,5.13,1.5,51.72,2.16,58066.44
2010,"QN0402",69583,51.65,32.1,66.78,7.34,11.22,12.75,1.9,45707.39
2011,"QN0402",70007,51.63,32.4,67.1,7.1,10.9,12.95,1.95,47095.82
2012,"QN0402",70431,51.56,32.7,67.4,6.9,10.6,13.1,2,45572.73
2013,"QN0402",70855,51.49,33,67.7,6.7,10.3,13.25,2.05,44945.72
2014,"QN0402",71279,51.42,33.3,68,6.5,10,13.4,2.1,43463.8
2015,"QN0402",71702,51.35,33.6,68.3,6.3,9.7,13.55,2.15,43121.03
2016,"QN0402",72126,51.28,34,68.6,6.1,9.4,13.7,2.2,45521.58
2017,"QN0402",72550,51.21,34.3,68.9,5.9,9.1,13.85,2.25,50677.35
2018,"QN0402",72974,51.14,34.6,69.2,5.7,8.8,14,2.3,51952.47
2019,"QN0402",73398,51.07,34.9,69.5,5.5,8.5,14.15,2.35,48466.03
2020,"QN0402",73822,51,35.2,69.8,5.26,8.23,14.31,2.41,54443.86
2010,"QN0501",39160,48.89,37.9,26.83,60.77,0.9,10.23,1.27,60186.29
2011,"QN0501",39570,48.89,38.1,27.35,59.51,0.95,10.78,1.41,61395.57
2012,"QN0501",39979,48.88,38.3,27.9,58.22,1,11.36,1.52,61184.11
2013,"QN0501",40389,48.87,38.6,28.45,56.93,1.05,11.94,1.63,59625.6
2014,"QN0501",40799,48.86,38.8,29,55.64,1.1,12.52,1.74,58725.68
2015,"QN0501",41208,48.85,39,29.55,54.35,1.15,13.1,1.85,61571.37
2016,"QN0501",41618,48.84,39.2,30.1,53.06,1.2,13.68,1.96,63716.87
2017,"QN0501",42028,48.83,39.4,30.65,51.77,1.25,14.26,2.07,72596.89
2018,"QN0501",42438,48.82,39.7,31.2,50.48,1.3,14.84,2.18,75212.82
2019,"QN0501",42847,48.81,39.9,31.75,49.19,1.35,15.42,2.29,79001.88
2020,"QN0501",43257,48.8,40.1,32.27,47.93,1.4,15.99,2.41,83503.39
2010,"QN0502",66648,49.89,33.3,48.82,39.72,1.96,7.93,1.57,45699.68
2011,"QN0502",66623,49.88,33.4,48.33,39.77,2.1,8.01,1.79,47178.89
2012,"QN0502",66599,49.86,33.6,47.86,39.84,2.2,8.12,1.98,47715.13
2013,"QN0502",66574,49.84,33.7,47.39,39.91,2.3,8.23,2.17,45903.25
2014,"QN0502",66550,49.82,33.8,46.92,39.98,2.4,8.34,2.36,48423.54
2015,"QN0502",66525,49.8,34,46.45,40.05,2.5,8.45,2.55,49474.71
2016,"QN0502",66500,49.78,34.1,45.98,40.12,2.6,8.56,2.74,57153.74
2017,"QN0502",66476,49.76,34.2,45.51,40.19,2.7,8.67,2.93,62949.14
2018,"QN0502",66451,49.74,34.3,45.04,40.26,2.8,8.78,3.12,66239.69
2019,"QN0502",66427,49.72,34.5,44.57,40.33,2.9,8.89,3.31,71614.84
2020,"QN0502",66402,49.68,34.6,44.06,40.42,2.96,9.05,3.51,75443.65
2010,"QN0503",32496,47.76,37.8,33.4,60.91,1.18,3.09,1.42,54381.47
2011,"QN0503",32760,47.85,37.9,34.08,59.85,1.31,3.24,1.52,56701.63
2012,"QN0503",33024,47.9,38.1,34.76,58.8,1.42,3.38,1.64,57360.32
2013,"QN0503",33288,47.95,38.2,35.44,57.75,1.53,3.52,1.76,58405.16
2014,"QN0503",33552,48,38.4,36.12,56.7,1.64,3.66,1.88,64080.19
2015,"QN0503",33816,48.05,38.5,36.8,55.65,1.75,3.8,2,68366.41
2016,"QN0503",34079,48.1,38.6,37.48,54.6,1.86,3.94,2.12,70702.96
2017,"QN0503",34343,48.15,38.8,38.16,53.55,1.97,4.08,2.24,74262.98
2018,"QN0503",34607,48.2,38.9,38.84,52.5,2.08,4.22,2.36,77451.36
2019,"QN0503",34871,48.25,39.1,39.52,51.45,2.19,4.36,2.48,81027.91
2020,"QN0503",35135,48.27,39.2,40.16,50.45,2.34,4.52,2.54,82752.37
2010,"QN0504",31917,47.44,43,15.77,73.36,1.03,8.69,1.15,62788.2
2011,"QN0504",32173,47.49,43.1,16.31,72.14,1.06,9.23,1.26,63160.04
2012,"QN0504",32428,47.58,43.2,16.82,70.88,1.12,9.76,1.42,66776.43
2013,"QN0504",32684,47.67,43.2,17.33,69.62,1.18,10.29,1.58,68225.75
2014,"QN0504",32940,47.76,43.3,17.84,68.36,1.24,10.82,1.74,68797.19
2015,"QN0504",33196,47.85,43.4,18.35,67.1,1.3,11.35,1.9,70274.5
2016,"QN0504",33451,47.94,43.5,18.86,65.84,1.36,11.88,2.06,72288.59
2017,"QN0504",33707,48.03,43.6,19.37,64.58,1.42,12.41,2.22,77794
2018,"QN0504",33963,48.12,43.6,19.88,63.32,1.48,12.94,2.38,80291.72
2019,"QN0504",34218,48.21,43.7,20.39,62.06,1.54,13.47,2.54,80185.94
2020,"QN0504",34474,48.27,43.8,20.86,60.83,1.58,13.96,2.77,86080.92
2010,"QN0571",25,44,34.1,24,60,0,16,0,0
2011,"QN0571",23,39.13,33.9,21.74,65.22,0,13.04,0,0
2012,"QN0571",21,33.33,33.8,19.05,66.67,0,14.29,0,0
2013,"QN0571",18,33.33,33.6,16.67,72.22,0,11.11,0,0
2014,"QN0571",16,25,33.5,12.5,75,0,12.5,0,56141.52
2015,"QN0571",14,21.43,33.3,14.29,78.57,0,7.14,0,57361.67
2016,"QN0571",12,16.67,33.1,8.33,83.33,0,8.33,0,62092.37
2017,"QN0571",10,10,33,10,90,0,0,0,67481.43
2018,"QN0571",7,14.29,32.8,0,85.71,0,0,14.29,69971.51
2019,"QN0571",5,0,32.7,0,100,0,0,0,70107.77
2020,"QN0571",3,0,32.5,0,100,0,0,0,75569.94
2010,"QN0572",19,57.89,42.5,21.05,78.95,0,0,0,0
2011,"QN0572",17,52.94,38.2,17.65,70.59,0,0,11.76,57330.6
2012,"QN0572",15,46.67,34,20,60,0,0,20,58457.56
2013,"QN0572",13,38.46,29.8,15.38,53.85,0,0,30.77,58523.53
2014,"QN0572",11,36.36,25.5,9.09,45.45,0,0,45.45,58970.3
2015,"QN0572",10,30,21.2,10,40,0,0,50,58254.72
2016,"QN0572",8,25,18,12.5,37.5,0,0,50,66272.05
2017,"QN0572",6,16.67,18,0,16.67,0,0,83.33,68834.95
2018,"QN0572",4,0,18,0,25,0,0,75,71141.1
2019,"QN0572",2,0,18,0,0,0,0,100,0
2020,"QN0572",0,0,0,0,0,0,0,0,0
2010,"QN0573",0,0,0,0,0,0,0,0,0
2011,"QN0573",0,0,0,0,0,0,0,0,0
2012,"QN0573",1,0,18,0,0,0,0,100,0
2013,"QN0573",1,0,18,0,0,0,0,100,0
2014,"QN0573",1,0,18,0,0,0,0,100,0
2015,"QN0573",2,0,18.8,50,0,0,0,50,0
2016,"QN0573",2,0,22.5,50,0,0,0,50,0
2017,"QN0573",2,0,26.2,50,0,0,0,50,0
2018,"QN0573",2,50,30,50,0,0,0,50,0
2019,"QN0573",3,33.33,33.8,66.67,0,0,0,33.33,0
2020,"QN0573",3,33.33,37.5,66.67,0,0,0,33.33,0
2010,"QN0574",73,50.68,39.2,35.62,41.1,2.74,15.07,5.48,104875
2011,"QN0574",68,50,39.5,33.82,42.65,2.94,13.24,7.35,105625
2012,"QN0574",62,50,39.8,33.87,43.55,1.61,11.29,9.68,108875
2013,"QN0574",57,50.88,40,31.58,43.86,1.75,10.53,12.28,112000
2014,"QN0574",52,50,40.3,30.77,44.23,1.92,9.62,13.46,112375
2015,"QN0574",46,50,40.6,30.43,45.65,2.17,6.52,15.22,48812.26
2016,"QN0574",41,51.22,40.9,29.27,46.34,0,4.88,19.51,118750
2017,"QN0574",36,50,41.2,27.78,47.22,0,5.56,19.44,83798.58
2018,"QN0574",31,51.61,41.4,25.81,48.39,0,3.23,22.58,79757.37
2019,"QN0574",25,52,41.7,28,48,0,0,24,61132.25
2020,"QN0574",20,50,42,25,50,0,0,25,64049.74
2010,"QN0601",28260,46.99,42.2,16.57,46.24,2.47,31.73,2.99,57074.06
2011,"QN0601",28508,47.01,42.2,16.91,45.16,2.53,32.14,3.26,55725.62
2012,"QN0601",28756,47.02,42.3,17.22,44.12,2.56,32.58,3.52,56095.87
2013,"QN0601",29004,47.03,42.3,17.53,43.08,2.59,33.02,3.78,54107.66
2014,"QN0601",29252,47.04,42.4,17.84,42.04,2.62,33.46,4.04,51359.61
2015,"QN0601",29501,47.05,42.4,18.15,41,2.65,33.9,4.3,56802.44
2016,"QN0601",29749,47.06,42.4,18.46,39.96,2.68,34.34,4.56,57597.88
2017,"QN0601",29997,47.07,42.5,18.77,38.92,2.71,34.78,4.82,65345.12
2018,"QN0601",30245,47.08,42.5,19.08,37.88,2.74,35.22,5.08,67553.61
2019,"QN0601",30493,47.09,42.6,19.39,36.84,2.77,35.66,5.34,68790.25
2020,"QN0601",30741,47.12,42.6,19.67,35.81,2.78,36.15,5.6,71893.64
2010,"QN0602",83728,46.25,42.4,12.43,58.31,2.49,24.17,2.6,67768.74
2011,"QN0602",84252,46.33,42.5,12.68,57.14,2.54,24.71,2.93,70735.94
2012,"QN0602",84775,46.36,42.5,12.96,55.98,2.58,25.22,3.26,70441.75
2013,"QN0602",85299,46.39,42.6,13.24,54.82,2.62,25.73,3.59,68756.91
2014,"QN0602",85823,46.42,42.7,13.52,53.66,2.66,26.24,3.92,69391.01
2015,"QN0602",86346,46.45,42.8,13.8,52.5,2.7,26.75,4.25,69122.28
2016,"QN0602",86870,46.48,42.8,14.08,51.34,2.74,27.26,4.58,71166.42
2017,"QN0602",87394,46.51,42.9,14.36,50.18,2.78,27.77,4.91,81941.38
2018,"QN0602",87918,46.54,43,14.64,49.02,2.82,28.28,5.24,84761.97
2019,"QN0602",88441,46.57,43,14.92,47.86,2.86,28.79,5.57,85124.84
2020,"QN0602",88965,46.61,43.1,15.23,46.73,2.91,29.26,5.88,88237.91
2010,"QN0701",28246,48.75,37.9,33.34,35.44,2.12,26.98,2.12,68161.11
2011,"QN0701",28784,48.77,38,33.98,33.99,2.09,27.73,2.21,66936.33
2012,"QN0701",29322,48.84,38,34.66,32.58,2.08,28.46,2.22,64575.68
2013,"QN0701",29860,48.91,38.1,35.34,31.17,2.07,29.19,2.23,60379.42
2014,"QN0701",30398,48.98,38.2,36.02,29.76,2.06,29.92,2.24,60402.07
2015,"QN0701",30936,49.05,38.2,36.7,28.35,2.05,30.65,2.25,58839.4
2016,"QN0701",31473,49.12,38.3,37.38,26.94,2.04,31.38,2.26,58659.92
2017,"QN0701",32011,49.19,38.4,38.06,25.53,2.03,32.11,2.27,67818.5
2018,"QN0701",32549,49.26,38.5,38.74,24.12,2.02,32.84,2.28,68935.04
2019,"QN0701",33087,49.33,38.5,39.42,22.71,2.01,33.57,2.29,63188.18
2020,"QN0701",33625,49.38,38.6,40.06,21.34,2.04,34.28,2.28,64276.29
2010,"QN0702",26802,47.81,44.1,11.19,69.78,0.72,16.85,1.45,78990.47
2011,"QN0702",26963,47.83,44.3,11.63,68.37,0.71,17.74,1.55,79688.92
2012,"QN0702",27123,47.86,44.4,12.06,66.94,0.72,18.68,1.6,81183.66
2013,"QN0702",27284,47.89,44.6,12.49,65.51,0.73,19.62,1.65,81327.46
2014,"QN0702",27444,47.92,44.8,12.92,64.08,0.74,20.56,1.7,84219.7
2015,"QN0702",27605,47.95,44.9,13.35,62.65,0.75,21.5,1.75,78678.68
2016,"QN0702",27766,47.98,45.1,13.78,61.22,0.76,22.44,1.8,81319.74
2017,"QN0702",27926,48.01,45.3,14.21,59.79,0.77,23.38,1.85,85746.73
2018,"QN0702",28087,48.04,45.5,14.64,58.36,0.78,24.32,1.9,86902.04
2019,"QN0702",28247,48.07,45.6,15.07,56.93,0.79,25.26,1.95,90168.4
2020,"QN0702",28408,48.08,45.8,15.49,55.53,0.84,26.15,1.98,84583.43
2010,"QN0703",21751,45.18,49.8,8.53,68.41,1.3,20.44,1.32,72124.3
2011,"QN0703",21905,45.22,49.9,8.83,66.9,1.32,21.46,1.49,73921.6
2012,"QN0703",22058,45.24,50,9.16,65.4,1.34,22.52,1.58,71353.12
2013,"QN0703",22212,45.26,50.1,9.49,63.9,1.36,23.58,1.67,68293.56
2014,"QN0703",22365,45.28,50.2,9.82,62.4,1.38,24.64,1.76,72595.54
2015,"QN0703",22519,45.3,50.3,10.15,60.9,1.4,25.7,1.85,73820.75
2016,"QN0703",22673,45.32,50.5,10.48,59.4,1.42,26.76,1.94,75197.8
2017,"QN0703",22826,45.34,50.6,10.81,57.9,1.44,27.82,2.03,83321.71
2018,"QN0703",22980,45.36,50.7,11.14,56.4,1.46,28.88,2.11,85859.66
2019,"QN0703",23133,45.38,50.8,11.47,54.9,1.48,29.94,2.21,85746.96
2020,"QN0703",23287,45.42,50.9,11.75,53.4,1.46,30.99,2.39,86334.29
2010,"QN0704",55951,47.8,42.5,15.75,28.42,1.63,52.34,1.86,63187.03
2011,"QN0704",56095,47.77,42.8,15.85,27.54,1.59,53.13,1.89,63314.93
2012,"QN0704",56238,47.74,43.1,15.9,26.68,1.58,53.96,1.88,64105.85
2013,"QN0704",56382,47.71,43.4,15.95,25.82,1.57,54.79,1.87,58748.97
2014,"QN0704",56525,47.68,43.7,16,24.96,1.56,55.62,1.86,58273.29
2015,"QN0704",56669,47.65,44.1,16.05,24.1,1.55,56.45,1.85,58562.42
2016,"QN0704",56813,47.62,44.4,16.1,23.24,1.54,57.28,1.84,58400.42
2017,"QN0704",56956,47.59,44.7,16.15,22.38,1.53,58.11,1.83,62194.32
2018,"QN0704",57100,47.56,45,16.2,21.52,1.52,58.94,1.82,62469.97
2019,"QN0704",57243,47.53,45.3,16.25,20.66,1.51,59.77,1.81,60472.06
2020,"QN0704",57387,47.51,45.6,16.25,19.82,1.52,60.57,1.83,60103.87
2010,"QN0705",32300,48.22,40.6,18.37,17.63,3.25,58.58,2.18,51597.32
2011,"QN0705",32540,48.28,40.8,18.39,16.85,3.11,59.51,2.14,51052.43
2012,"QN0705",32781,48.36,41.1,18.38,16.1,3.02,60.42,2.08,50452.37
2013,"QN0705",33021,48.44,41.3,18.37,15.35,2.93,61.33,2.02,49703.79
2014,"QN0705",33262,48.52,41.6,18.36,14.6,2.84,62.24,1.96,49354.78
2015,"QN0705",33502,48.6,41.8,18.35,13.85,2.75,63.15,1.9,44714.94
2016,"QN0705",33742,48.68,42.1,18.34,13.1,2.66,64.06,1.84,43875.83
2017,"QN0705",33983,48.76,42.3,18.33,12.35,2.57,64.97,1.78,49884.05
2018,"QN0705",34223,48.84,42.6,18.32,11.6,2.48,65.88,1.72,50054.68
2019,"QN0705",34464,48.92,42.8,18.31,10.85,2.39,66.79,1.66,46152.38
2020,"QN0705",34704,49.05,43.1,18.29,10.09,2.29,67.7,1.63,51521.19
2010,"QN0706",20798,49.07,39.6,14.09,17.29,1.18,65.04,2.4,60527.53
2011,"QN0706",21082,49.13,39.7,14.3,16.49,1.21,65.65,2.35,54322.91
2012,"QN0706",21366,49.16,39.7,14.5,15.68,1.22,66.3,2.3,52903.1
2013,"QN0706",21650,49.19,39.8,14.7,14.87,1.23,66.95,2.25,53249.76
2014,"QN0706",21934,49.22,39.8,14.9,14.06,1.24,67.6,2.2,52890.69
2015,"QN0706",22218,49.25,39.9,15.1,13.25,1.25,68.25,2.15,53377.99
2016,"QN0706",22502,49.28,40,15.3,12.44,1.26,68.9,2.1,55535.41
2017,"QN0706",22786,49.31,40,15.5,11.63,1.27,69.55,2.05,59202.58
2018,"QN0706",23070,49.34,40.1,15.7,10.82,1.28,70.2,2,60164.55
2019,"QN0706",23354,49.37,40.1,15.9,10.01,1.29,70.85,1.95,61594.62
2020,"QN0706",23638,49.36,40.2,16.14,9.23,1.34,71.48,1.82,60389.02
