"","Year","Borough","GeoID","Name","Pop1","Male","MaleP","Fem","FemP","MdAge","Hsp1","Hsp1P","WNH","WNHP","BNH","BNHP","ANH","ANHP","OthNH","OthNHP"
"1",2010,"Brooklyn","BK0101","Greenpoint",34719,17329,49.91,17390,50.09,34,5099,14.69,26691,76.88,433,1.25,1689,4.86,807,2.32
"2",2011,"Brooklyn","BK0101","Greenpoint",35145,17513,49.83,17632,50.17,34.1,5191,14.77,26802,76.26,471,1.34,1775,5.05,906,2.58
"3",2012,"Brooklyn","BK0101","Greenpoint",35571,17700,49.76,17871,50.24,34.1,5279,14.84,26899,75.62,526,1.48,1850,5.2,1017,2.86
"4",2013,"Brooklyn","BK0101","Greenpoint",35997,17887,49.69,18110,50.31,34.2,5367,14.91,26991,74.98,583,1.62,1926,5.35,1130,3.14
"5",2014,"Brooklyn","BK0101","Greenpoint",36423,18073,49.62,18350,50.38,34.3,5456,14.98,27077,74.34,641,1.76,2003,5.5,1246,3.42
"6",2015,"Brooklyn","BK0101","Greenpoint",36850,18259,49.55,18591,50.45,34.4,5546,15.05,27158,73.7,700,1.9,2082,5.65,1364,3.7
"7",2016,"Brooklyn","BK0101","Greenpoint",37276,18444,49.48,18832,50.52,34.4,5636,15.12,27234,73.06,760,2.04,2162,5.8,1484,3.98
"8",2017,"Brooklyn","BK0101","Greenpoint",37702,18629,49.41,19073,50.59,34.5,5727,15.19,27304,72.42,822,2.18,2243,5.95,1606,4.26
"9",2018,"Brooklyn","BK0101","Greenpoint",38128,18812,49.34,19316,50.66,34.6,5818,15.26,27368,71.78,885,2.32,2326,6.1,1731,4.54
"10",2019,"Brooklyn","BK0101","Greenpoint",38554,18996,49.27,19558,50.73,34.6,5910,15.33,27427,71.14,948,2.46,2410,6.25,1859,4.82
"11",2020,"Brooklyn","BK0101","Greenpoint",38980,19165,49.17,19815,50.83,34.7,6007,15.41,27496,70.54,1025,2.63,2477,6.35,1975,5.07
"12",2010,"Brooklyn","BK0102","Williamsburg",45774,22693,49.58,23081,50.42,30.9,17268,37.72,23968,52.36,1393,3.04,2227,4.87,918,2.01
"13",2011,"Brooklyn","BK0102","Williamsburg",47641,23601,49.54,24040,50.46,31,17422,36.57,25183,52.86,1458,3.06,2468,5.18,1110,2.33
"14",2012,"Brooklyn","BK0102","Williamsburg",49508,24497,49.48,25011,50.52,31.2,17546,35.44,26398,53.32,1545,3.12,2703,5.46,1316,2.66
"15",2013,"Brooklyn","BK0102","Williamsburg",51375,25390,49.42,25985,50.58,31.3,17627,34.31,27629,53.78,1634,3.18,2949,5.74,1536,2.99
"16",2014,"Brooklyn","BK0102","Williamsburg",53242,26280,49.36,26962,50.64,31.5,17666,33.18,28878,54.24,1725,3.24,3205,6.02,1768,3.32
"17",2015,"Brooklyn","BK0102","Williamsburg",55109,27169,49.3,27940,50.7,31.6,17662,32.05,30145,54.7,1819,3.3,3472,6.3,2011,3.65
"18",2016,"Brooklyn","BK0102","Williamsburg",56976,28055,49.24,28921,50.76,31.7,17617,30.92,31428,55.16,1914,3.36,3749,6.58,2268,3.98
"19",2017,"Brooklyn","BK0102","Williamsburg",58843,28939,49.18,29904,50.82,31.9,17529,29.79,32728,55.62,2012,3.42,4037,6.86,2537,4.31
"20",2018,"Brooklyn","BK0102","Williamsburg",60710,29821,49.12,30889,50.88,32,17399,28.66,34046,56.08,2113,3.48,4335,7.14,2817,4.64
"21",2019,"Brooklyn","BK0102","Williamsburg",62577,30700,49.06,31877,50.94,32.2,17227,27.53,35381,56.54,2215,3.54,4643,7.42,3111,4.97
"22",2020,"Brooklyn","BK0102","Williamsburg",64444,31576,49,32868,51,32.3,17012,26.4,36709,56.96,2340,3.63,4974,7.72,3409,5.29
"23",2010,"Brooklyn","BK0103","South Williamsburg",42241,21215,50.22,21026,49.78,18.6,4277,10.13,36670,86.81,913,2.16,77,0.18,304,0.72
"24",2011,"Brooklyn","BK0103","South Williamsburg",42787,21483,50.21,21304,49.79,18.7,4262,9.96,36989,86.45,958,2.24,111,0.26,467,1.09
"25",2012,"Brooklyn","BK0103","South Williamsburg",43333,21762,50.22,21571,49.78,18.8,4255,9.82,37310,86.1,988,2.28,139,0.32,641,1.48
"26",2013,"Brooklyn","BK0103","South Williamsburg",43880,22041,50.23,21839,49.77,18.9,4248,9.68,37627,85.75,1018,2.32,167,0.38,820,1.87
"27",2014,"Brooklyn","BK0103","South Williamsburg",44426,22320,50.24,22106,49.76,19,4238,9.54,37940,85.4,1048,2.36,195,0.44,1005,2.26
"28",2015,"Brooklyn","BK0103","South Williamsburg",44972,22598,50.25,22374,49.75,19.1,4227,9.4,38249,85.05,1079,2.4,225,0.5,1192,2.65
"29",2016,"Brooklyn","BK0103","South Williamsburg",45518,22877,50.26,22641,49.74,19.1,4215,9.26,38554,84.7,1111,2.44,255,0.56,1383,3.04
"30",2017,"Brooklyn","BK0103","South Williamsburg",46064,23156,50.27,22908,49.73,19.2,4201,9.12,38855,84.35,1142,2.48,286,0.62,1580,3.43
"31",2018,"Brooklyn","BK0103","South Williamsburg",46611,23436,50.28,23175,49.72,19.3,4186,8.98,39153,84,1175,2.52,317,0.68,1780,3.82
"32",2019,"Brooklyn","BK0103","South Williamsburg",47157,23715,50.29,23442,49.71,19.4,4169,8.84,39447,83.65,1207,2.56,349,0.74,1985,4.21
"33",2020,"Brooklyn","BK0103","South Williamsburg",47703,24006,50.32,23697,49.68,19.5,4135,8.67,39714,83.25,1217,2.55,363,0.76,2274,4.77
"34",2010,"Brooklyn","BK0104","East Williamsburg",50349,24271,48.21,26078,51.79,32.2,20364,40.45,17982,35.71,6243,12.4,4718,9.37,1042,2.07
"35",2011,"Brooklyn","BK0104","East Williamsburg",50614,24366,48.14,26248,51.86,32.4,20154,39.82,18206,35.97,6231,12.31,4839,9.56,1184,2.34
"36",2012,"Brooklyn","BK0104","East Williamsburg",50879,24463,48.08,26416,51.92,32.5,19965,39.24,18439,36.24,6217,12.22,4945,9.72,1313,2.58
"37",2013,"Brooklyn","BK0104","East Williamsburg",51144,24559,48.02,26585,51.98,32.7,19772,38.66,18673,36.51,6204,12.13,5053,9.88,1442,2.82
"38",2014,"Brooklyn","BK0104","East Williamsburg",51409,24656,47.96,26753,52.04,32.8,19577,38.08,18908,36.78,6190,12.04,5161,10.04,1573,3.06
"39",2015,"Brooklyn","BK0104","East Williamsburg",51674,24752,47.9,26922,52.1,33,19378,37.5,19145,37.05,6175,11.95,5271,10.2,1705,3.3
"40",2016,"Brooklyn","BK0104","East Williamsburg",51938,24847,47.84,27091,52.16,33.2,19176,36.92,19383,37.32,6160,11.86,5381,10.36,1838,3.54
"41",2017,"Brooklyn","BK0104","East Williamsburg",52203,24943,47.78,27260,52.22,33.3,18971,36.34,19623,37.59,6144,11.77,5492,10.52,1973,3.78
"42",2018,"Brooklyn","BK0104","East Williamsburg",52468,25038,47.72,27430,52.28,33.5,18763,35.76,19864,37.86,6128,11.68,5604,10.68,2109,4.02
"43",2019,"Brooklyn","BK0104","East Williamsburg",52733,25133,47.66,27600,52.34,33.6,18551,35.18,20107,38.13,6112,11.59,5716,10.84,2247,4.26
"44",2020,"Brooklyn","BK0104","East Williamsburg",52998,25210,47.57,27788,52.43,33.8,18322,34.57,20363,38.42,6110,11.53,5817,10.98,2386,4.5
"45",2010,"Brooklyn","BK0201","Brooklyn Heights",22887,10971,47.94,11916,52.06,37.1,1675,7.32,17210,75.2,1259,5.5,2003,8.75,740,3.23
"46",2011,"Brooklyn","BK0201","Brooklyn Heights",23108,11062,47.87,12046,52.13,37.1,1698,7.35,17338,75.03,1225,5.3,2040,8.83,807,3.49
"47",2012,"Brooklyn","BK0201","Brooklyn Heights",23328,11160,47.84,12168,52.16,37.1,1726,7.4,17463,74.86,1190,5.1,2067,8.86,882,3.78
"48",2013,"Brooklyn","BK0201","Brooklyn Heights",23549,11259,47.81,12290,52.19,37.1,1754,7.45,17589,74.69,1154,4.9,2094,8.89,958,4.07
"49",2014,"Brooklyn","BK0201","Brooklyn Heights",23769,11357,47.78,12412,52.22,37.1,1783,7.5,17713,74.52,1117,4.7,2120,8.92,1036,4.36
"50",2015,"Brooklyn","BK0201","Brooklyn Heights",23990,11455,47.75,12535,52.25,37.1,1811,7.55,17837,74.35,1080,4.5,2147,8.95,1115,4.65
"51",2016,"Brooklyn","BK0201","Brooklyn Heights",24210,11553,47.72,12657,52.28,37.1,1840,7.6,17959,74.18,1041,4.3,2174,8.98,1196,4.94
"52",2017,"Brooklyn","BK0201","Brooklyn Heights",24431,11651,47.69,12780,52.31,37.1,1869,7.65,18081,74.01,1002,4.1,2201,9.01,1278,5.23
"53",2018,"Brooklyn","BK0201","Brooklyn Heights",24651,11749,47.66,12902,52.34,37.1,1898,7.7,18202,73.84,961,3.9,2228,9.04,1362,5.53
"54",2019,"Brooklyn","BK0201","Brooklyn Heights",24872,11847,47.63,13025,52.37,37.1,1928,7.75,18323,73.67,920,3.7,2256,9.07,1445,5.81
"55",2020,"Brooklyn","BK0201","Brooklyn Heights",25092,11956,47.65,13136,52.35,37.1,1961,7.82,18446,73.51,886,3.53,2282,9.09,1517,6.05
"56",2010,"Brooklyn","BK0202","Downtown Brooklyn-DUMBO-Boerum Hill",24605,11856,48.19,12749,51.81,34.8,4381,17.81,11771,47.84,5099,20.72,2497,10.15,857,3.48
"57",2011,"Brooklyn","BK0202","Downtown Brooklyn-DUMBO-Boerum Hill",26241,12651,48.21,13590,51.79,34.7,4561,17.38,12520,47.71,5267,20.07,2873,10.95,1020,3.89
"58",2012,"Brooklyn","BK0202","Downtown Brooklyn-DUMBO-Boerum Hill",27878,13443,48.22,14435,51.78,34.6,4728,16.96,13276,47.62,5419,19.44,3290,11.8,1165,4.18
"59",2013,"Brooklyn","BK0202","Downtown Brooklyn-DUMBO-Boerum Hill",29514,14235,48.23,15279,51.77,34.5,4882,16.54,14028,47.53,5552,18.81,3734,12.65,1318,4.47
"60",2014,"Brooklyn","BK0202","Downtown Brooklyn-DUMBO-Boerum Hill",31150,15027,48.24,16123,51.76,34.4,5021,16.12,14778,47.44,5663,18.18,4205,13.5,1483,4.76
"61",2015,"Brooklyn","BK0202","Downtown Brooklyn-DUMBO-Boerum Hill",32786,15819,48.25,16967,51.75,34.2,5147,15.7,15524,47.35,5754,17.55,4705,14.35,1656,5.05
"62",2016,"Brooklyn","BK0202","Downtown Brooklyn-DUMBO-Boerum Hill",34423,16613,48.26,17810,51.74,34.1,5260,15.28,16268,47.26,5824,16.92,5232,15.2,1839,5.34
"63",2017,"Brooklyn","BK0202","Downtown Brooklyn-DUMBO-Boerum Hill",36059,17406,48.27,18653,51.73,34,5358,14.86,17009,47.17,5874,16.29,5787,16.05,2031,5.63
"64",2018,"Brooklyn","BK0202","Downtown Brooklyn-DUMBO-Boerum Hill",37695,18199,48.28,19496,51.72,33.9,5443,14.44,17747,47.08,5903,15.66,6370,16.9,2232,5.92
"65",2019,"Brooklyn","BK0202","Downtown Brooklyn-DUMBO-Boerum Hill",39332,18993,48.29,20339,51.71,33.8,5514,14.02,18482,46.99,5912,15.03,6981,17.75,2443,6.21
"66",2020,"Brooklyn","BK0202","Downtown Brooklyn-DUMBO-Boerum Hill",40968,19799,48.33,21169,51.67,33.7,5576,13.61,19213,46.9,5905,14.41,7606,18.57,2668,6.51
"67",2010,"Brooklyn","BK0203","Fort Greene",26399,11994,45.43,14405,54.57,34.3,4828,18.29,7497,28.4,11108,42.08,1924,7.29,1042,3.95
"68",2011,"Brooklyn","BK0203","Fort Greene",27053,12306,45.49,14747,54.51,34.4,4916,18.17,7848,29.01,11062,40.89,2099,7.76,1128,4.17
"69",2012,"Brooklyn","BK0203","Fort Greene",27707,12629,45.58,15078,54.42,34.6,4998,18.04,8207,29.62,10994,39.68,2278,8.22,1230,4.44
"70",2013,"Brooklyn","BK0203","Fort Greene",28361,12952,45.67,15409,54.33,34.7,5079,17.91,8574,30.23,10910,38.47,2462,8.68,1336,4.71
"71",2014,"Brooklyn","BK0203","Fort Greene",29015,13277,45.76,15738,54.24,34.9,5159,17.78,8948,30.84,10811,37.26,2652,9.14,1445,4.98
"72",2015,"Brooklyn","BK0203","Fort Greene",29668,13603,45.85,16065,54.15,35,5236,17.65,9331,31.45,10695,36.05,2848,9.6,1558,5.25
"73",2016,"Brooklyn","BK0203","Fort Greene",30322,13930,45.94,16392,54.06,35.1,5312,17.52,9721,32.06,10564,34.84,3050,10.06,1675,5.52
"74",2017,"Brooklyn","BK0203","Fort Greene",30976,14258,46.03,16718,53.97,35.3,5387,17.39,10120,32.67,10417,33.63,3259,10.52,1793,5.79
"75",2018,"Brooklyn","BK0203","Fort Greene",31630,14588,46.12,17042,53.88,35.4,5459,17.26,10526,33.28,10254,32.42,3473,10.98,1918,6.06
"76",2019,"Brooklyn","BK0203","Fort Greene",32284,14918,46.21,17366,53.79,35.6,5530,17.13,10941,33.89,10076,31.21,3693,11.44,2044,6.33
"77",2020,"Brooklyn","BK0203","Fort Greene",32938,15259,46.33,17679,53.67,35.7,5605,17.02,11355,34.47,9896,30.04,3916,11.89,2166,6.58
"78",2010,"Brooklyn","BK0204","Clinton Hill",24014,10717,44.63,13297,55.37,34,2973,12.38,9031,37.61,9606,40,1363,5.68,1041,4.33
"79",2011,"Brooklyn","BK0204","Clinton Hill",24477,10914,44.59,13563,55.41,34,3028,12.37,9380,38.32,9458,38.64,1488,6.08,1123,4.59
"80",2012,"Brooklyn","BK0204","Clinton Hill",24941,11119,44.58,13822,55.42,34.1,3078,12.34,9737,39.04,9298,37.28,1611,6.46,1217,4.88
"81",2013,"Brooklyn","BK0204","Clinton Hill",25404,11323,44.57,14081,55.43,34.1,3127,12.31,10101,39.76,9125,35.92,1738,6.84,1313,5.17
"82",2014,"Brooklyn","BK0204","Clinton Hill",25867,11526,44.56,14341,55.44,34.1,3176,12.28,10471,40.48,8940,34.56,1868,7.22,1412,5.46
"83",2015,"Brooklyn","BK0204","Clinton Hill",26331,11730,44.55,14601,55.45,34.1,3226,12.25,10848,41.2,8742,33.2,2001,7.6,1514,5.75
"84",2016,"Brooklyn","BK0204","Clinton Hill",26794,11934,44.54,14860,55.46,34.2,3274,12.22,11232,41.92,8531,31.84,2138,7.98,1619,6.04
"85",2017,"Brooklyn","BK0204","Clinton Hill",27257,12138,44.53,15119,55.47,34.2,3323,12.19,11622,42.64,8308,30.48,2279,8.36,1725,6.33
"86",2018,"Brooklyn","BK0204","Clinton Hill",27720,12341,44.52,15379,55.48,34.2,3371,12.16,12019,43.36,8072,29.12,2423,8.74,1835,6.62
"87",2019,"Brooklyn","BK0204","Clinton Hill",28184,12545,44.51,15639,55.49,34.3,3419,12.13,12424,44.08,7824,27.76,2570,9.12,1947,6.91
"88",2020,"Brooklyn","BK0204","Clinton Hill",28647,12743,44.48,15904,55.52,34.3,3464,12.09,12845,44.84,7574,26.44,2714,9.47,2050,7.16
"89",2010,"Brooklyn","BK0261","Brooklyn Navy Yard",7,4,57.14,3,42.86,18.5,0,0,7,100,0,0,0,0,0,0
"90",2011,"Brooklyn","BK0261","Brooklyn Navy Yard",7,4,57.14,3,42.86,20.4,1,14.29,6,85.71,0,0,0,0,0,0
"91",2012,"Brooklyn","BK0261","Brooklyn Navy Yard",7,3,42.86,4,57.14,22.3,1,14.29,6,85.71,0,0,0,0,0,0
"92",2013,"Brooklyn","BK0261","Brooklyn Navy Yard",6,2,33.33,4,66.67,24.2,1,16.67,5,83.33,0,0,0,0,0,0
"93",2014,"Brooklyn","BK0261","Brooklyn Navy Yard",6,2,33.33,4,66.67,26.1,2,33.33,4,66.67,0,0,0,0,0,0
"94",2015,"Brooklyn","BK0261","Brooklyn Navy Yard",6,2,33.33,4,66.67,28,2,33.33,4,66.67,0,0,0,0,0,0
"95",2016,"Brooklyn","BK0261","Brooklyn Navy Yard",6,1,16.67,5,83.33,29.9,3,50,3,50,0,0,0,0,0,0
"96",2017,"Brooklyn","BK0261","Brooklyn Navy Yard",6,1,16.67,5,83.33,31.8,3,50,3,50,0,0,0,0,0,0
"97",2018,"Brooklyn","BK0261","Brooklyn Navy Yard",5,1,20,4,80,33.7,3,60,2,40,0,0,0,0,0,0
"98",2019,"Brooklyn","BK0261","Brooklyn Navy Yard",5,0,0,5,100,35.6,4,80,1,20,0,0,0,0,0,0
"99",2020,"Brooklyn","BK0261","Brooklyn Navy Yard",5,0,0,5,100,37.5,4,80,1,20,0,0,0,0,0,0
"100",2010,"Brooklyn","BK0301","Bedford-Stuyvesant (West)",74491,34877,46.82,39614,53.18,30.5,15973,21.44,13295,17.85,41307,55.45,2004,2.69,1912,2.57
"101",2011,"Brooklyn","BK0301","Bedford-Stuyvesant (West)",75961,35565,46.82,40396,53.18,30.6,16051,21.13,14850,19.55,40563,53.4,2241,2.95,2256,2.97
"102",2012,"Brooklyn","BK0301","Bedford-Stuyvesant (West)",77431,36269,46.84,41162,53.16,30.6,16152,20.86,16493,21.3,39722,51.3,2478,3.2,2586,3.34
"103",2013,"Brooklyn","BK0301","Bedford-Stuyvesant (West)",78900,36973,46.86,41927,53.14,30.7,16246,20.59,18186,23.05,38819,49.2,2722,3.45,2927,3.71
"104",2014,"Brooklyn","BK0301","Bedford-Stuyvesant (West)",80370,37677,46.88,42693,53.12,30.7,16331,20.32,19932,24.8,37854,47.1,2974,3.7,3279,4.08
"105",2015,"Brooklyn","BK0301","Bedford-Stuyvesant (West)",81840,38383,46.9,43457,53.1,30.8,16409,20.05,21729,26.55,36828,45,3233,3.95,3641,4.45
"106",2016,"Brooklyn","BK0301","Bedford-Stuyvesant (West)",83310,39089,46.92,44221,53.08,30.9,16479,19.78,23577,28.3,35740,42.9,3499,4.2,4015,4.82
"107",2017,"Brooklyn","BK0301","Bedford-Stuyvesant (West)",84780,39796,46.94,44984,53.06,30.9,16541,19.51,25476,30.05,34590,40.8,3773,4.45,4400,5.19
"108",2018,"Brooklyn","BK0301","Bedford-Stuyvesant (West)",86249,40503,46.96,45746,53.04,31,16594,19.24,27427,31.8,33378,38.7,4054,4.7,4796,5.56
"109",2019,"Brooklyn","BK0301","Bedford-Stuyvesant (West)",87719,41210,46.98,46509,53.02,31,16640,18.97,29430,33.55,32105,36.6,4342,4.95,5202,5.93
"110",2020,"Brooklyn","BK0301","Bedford-Stuyvesant (West)",89189,41962,47.05,47227,52.95,31.1,16636,18.65,31481,35.3,30805,34.54,4635,5.2,5632,6.31
"111",2010,"Brooklyn","BK0302","Bedford-Stuyvesant (East)",77089,34886,45.25,42203,54.75,33.2,14242,18.47,2675,3.47,57133,74.11,1372,1.78,1667,2.16
"112",2011,"Brooklyn","BK0302","Bedford-Stuyvesant (East)",77845,35326,45.38,42519,54.62,33.2,14432,18.54,3791,4.87,56103,72.07,1565,2.01,1954,2.51
"113",2012,"Brooklyn","BK0302","Bedford-Stuyvesant (East)",78602,35732,45.46,42870,54.54,33.3,14604,18.58,4905,6.24,55053,70.04,1745,2.22,2295,2.92
"114",2013,"Brooklyn","BK0302","Bedford-Stuyvesant (East)",79358,36140,45.54,43218,54.46,33.3,14776,18.62,6039,7.61,53971,68.01,1928,2.43,2644,3.33
"115",2014,"Brooklyn","BK0302","Bedford-Stuyvesant (East)",80115,36548,45.62,43567,54.38,33.3,14949,18.66,7194,8.98,52860,65.98,2115,2.64,2997,3.74
"116",2015,"Brooklyn","BK0302","Bedford-Stuyvesant (East)",80871,36958,45.7,43913,54.3,33.4,15123,18.7,8370,10.35,51717,63.95,2305,2.85,3356,4.15
"117",2016,"Brooklyn","BK0302","Bedford-Stuyvesant (East)",81627,37369,45.78,44258,54.22,33.4,15297,18.74,9567,11.72,50543,61.92,2498,3.06,3722,4.56
"118",2017,"Brooklyn","BK0302","Bedford-Stuyvesant (East)",82384,37781,45.86,44603,54.14,33.4,15472,18.78,10784,13.09,49340,59.89,2694,3.27,4094,4.97
"119",2018,"Brooklyn","BK0302","Bedford-Stuyvesant (East)",83140,38195,45.94,44945,54.06,33.4,15647,18.82,12022,14.46,48105,57.86,2893,3.48,4473,5.38
"120",2019,"Brooklyn","BK0302","Bedford-Stuyvesant (East)",83897,38609,46.02,45288,53.98,33.5,15823,18.86,13281,15.83,46840,55.83,3096,3.69,4857,5.79
"121",2020,"Brooklyn","BK0302","Bedford-Stuyvesant (East)",84653,39043,46.12,45610,53.88,33.5,16000,18.9,14587,17.23,45584,53.85,3311,3.91,5171,6.11
"122",2010,"Brooklyn","BK0401","Bushwick (West)",53577,27766,51.82,25811,48.18,29.3,38469,71.8,7024,13.11,3611,6.74,3516,6.56,957,1.79
"123",2011,"Brooklyn","BK0401","Bushwick (West)",54088,27909,51.6,26179,48.4,29.4,37813,69.91,7891,14.59,3635,6.72,3624,6.7,1125,2.08
"124",2012,"Brooklyn","BK0401","Bushwick (West)",54600,28064,51.4,26536,48.6,29.6,37139,68.02,8780,16.08,3680,6.74,3713,6.8,1288,2.36
"125",2013,"Brooklyn","BK0401","Bushwick (West)",55112,28217,51.2,26895,48.8,29.8,36446,66.13,9683,17.57,3726,6.76,3803,6.9,1454,2.64
"126",2014,"Brooklyn","BK0401","Bushwick (West)",55623,28368,51,27255,49,29.9,35732,64.24,10602,19.06,3771,6.78,3894,7,1624,2.92
"127",2015,"Brooklyn","BK0401","Bushwick (West)",56134,28516,50.8,27618,49.2,30.1,35000,62.35,11536,20.55,3817,6.8,3986,7.1,1795,3.2
"128",2016,"Brooklyn","BK0401","Bushwick (West)",56646,28663,50.6,27983,49.4,30.2,34248,60.46,12485,22.04,3863,6.82,4079,7.2,1971,3.48
"129",2017,"Brooklyn","BK0401","Bushwick (West)",57158,28808,50.4,28350,49.6,30.4,33477,58.57,13449,23.53,3910,6.84,4173,7.3,2149,3.76
"130",2018,"Brooklyn","BK0401","Bushwick (West)",57669,28950,50.2,28719,49.8,30.5,32687,56.68,14429,25.02,3956,6.86,4268,7.4,2329,4.04
"131",2019,"Brooklyn","BK0401","Bushwick (West)",58181,29090,50,29091,50,30.7,31877,54.79,15424,26.51,4003,6.88,4364,7.5,2513,4.32
"132",2020,"Brooklyn","BK0401","Bushwick (West)",58692,29211,49.77,29481,50.23,30.8,31063,52.93,16444,28.02,4054,6.91,4458,7.6,2673,4.55
"133",2010,"Brooklyn","BK0402","Bushwick (East)",59043,28199,47.76,30844,52.24,30.8,35139,59.51,2536,4.3,19075,32.31,1260,2.13,1033,1.75
"134",2011,"Brooklyn","BK0402","Bushwick (East)",59344,28384,47.83,30960,52.17,30.9,34704,58.48,3389,5.71,18598,31.34,1401,2.36,1252,2.11
"135",2012,"Brooklyn","BK0402","Bushwick (East)",59644,28546,47.86,31098,52.14,31,34271,57.46,4247,7.12,18120,30.38,1563,2.62,1443,2.42
"136",2013,"Brooklyn","BK0402","Bushwick (East)",59945,28708,47.89,31237,52.11,31.1,33833,56.44,5113,8.53,17636,29.42,1726,2.88,1637,2.73
"137",2014,"Brooklyn","BK0402","Bushwick (East)",60245,28869,47.92,31376,52.08,31.2,33388,55.42,5988,9.94,17146,28.46,1892,3.14,1831,3.04
"138",2015,"Brooklyn","BK0402","Bushwick (East)",60546,29032,47.95,31514,52.05,31.3,32937,54.4,6872,11.35,16650,27.5,2059,3.4,2028,3.35
"139",2016,"Brooklyn","BK0402","Bushwick (East)",60847,29194,47.98,31653,52.02,31.5,32480,53.38,7764,12.76,16149,26.54,2227,3.66,2227,3.66
"140",2017,"Brooklyn","BK0402","Bushwick (East)",61147,29357,48.01,31790,51.99,31.6,32017,52.36,8665,14.17,15641,25.58,2397,3.92,2427,3.97
"141",2018,"Brooklyn","BK0402","Bushwick (East)",61448,29520,48.04,31928,51.96,31.7,31547,51.34,9574,15.58,15128,24.62,2569,4.18,2630,4.28
"142",2019,"Brooklyn","BK0402","Bushwick (East)",61748,29682,48.07,32066,51.93,31.8,31072,50.32,10491,16.99,14610,23.66,2742,4.44,2833,4.59
"143",2020,"Brooklyn","BK0402","Bushwick (East)",62049,29828,48.07,32221,51.93,31.9,30562,49.25,11438,18.43,14109,22.74,2944,4.74,2996,4.83
"144",2010,"Brooklyn","BK0471","The Evergreens Cemetery",14,4,28.57,10,71.43,22,8,57.14,4,28.57,2,14.29,0,0,0,0
"145",2011,"Brooklyn","BK0471","The Evergreens Cemetery",13,4,30.77,9,69.23,21.6,7,53.85,4,30.77,2,15.38,0,0,0,0
"146",2012,"Brooklyn","BK0471","The Evergreens Cemetery",12,4,33.33,8,66.67,21.2,6,50,3,25,1,8.33,0,0,2,16.67
"147",2013,"Brooklyn","BK0471","The Evergreens Cemetery",12,4,33.33,8,66.67,20.8,6,50,3,25,1,8.33,0,0,2,16.67
"148",2014,"Brooklyn","BK0471","The Evergreens Cemetery",11,4,36.36,7,63.64,20.4,5,45.45,3,27.27,1,9.09,0,0,2,18.18
"149",2015,"Brooklyn","BK0471","The Evergreens Cemetery",10,4,40,6,60,20,5,50,2,20,1,10,0,0,2,20
"150",2016,"Brooklyn","BK0471","The Evergreens Cemetery",9,4,44.44,5,55.56,19.6,4,44.44,2,22.22,1,11.11,0,0,2,22.22
"151",2017,"Brooklyn","BK0471","The Evergreens Cemetery",8,3,37.5,5,62.5,19.2,3,37.5,2,25,0,0,0,0,3,37.5
"152",2018,"Brooklyn","BK0471","The Evergreens Cemetery",8,4,50,4,50,18.8,3,37.5,2,25,0,0,0,0,3,37.5
"153",2019,"Brooklyn","BK0471","The Evergreens Cemetery",7,3,42.86,4,57.14,18.4,2,28.57,1,14.29,0,0,0,0,4,57.14
"154",2020,"Brooklyn","BK0471","The Evergreens Cemetery",6,3,50,3,50,18,2,33.33,1,16.67,0,0,0,0,3,50
"155",2010,"Brooklyn","BK0501","Cypress Hills",41513,20115,48.45,21398,51.55,31.2,27427,66.07,1190,2.87,8106,19.53,2523,6.08,2267,5.46
"156",2011,"Brooklyn","BK0501","Cypress Hills",41687,20222,48.51,21465,51.49,31.6,27634,66.29,1201,2.88,7991,19.17,2547,6.11,2314,5.55
"157",2012,"Brooklyn","BK0501","Cypress Hills",41862,20311,48.52,21551,51.48,31.9,27830,66.48,1197,2.86,7887,18.84,2562,6.12,2386,5.7
"158",2013,"Brooklyn","BK0501","Cypress Hills",42036,20400,48.53,21636,51.47,32.3,28025,66.67,1194,2.84,7781,18.51,2577,6.13,2459,5.85
"159",2014,"Brooklyn","BK0501","Cypress Hills",42210,20489,48.54,21721,51.46,32.7,28222,66.86,1190,2.82,7674,18.18,2592,6.14,2532,6
"160",2015,"Brooklyn","BK0501","Cypress Hills",42384,20577,48.55,21807,51.45,33.1,28418,67.05,1187,2.8,7566,17.85,2607,6.15,2606,6.15
"161",2016,"Brooklyn","BK0501","Cypress Hills",42559,20667,48.56,21892,51.44,33.4,28617,67.24,1183,2.78,7456,17.52,2622,6.16,2681,6.3
"162",2017,"Brooklyn","BK0501","Cypress Hills",42733,20755,48.57,21978,51.43,33.8,28815,67.43,1179,2.76,7346,17.19,2637,6.17,2756,6.45
"163",2018,"Brooklyn","BK0501","Cypress Hills",42907,20844,48.58,22063,51.42,34.2,29014,67.62,1176,2.74,7234,16.86,2652,6.18,2831,6.6
"164",2019,"Brooklyn","BK0501","Cypress Hills",43082,20934,48.59,22148,51.41,34.5,29214,67.81,1172,2.72,7121,16.53,2667,6.19,2908,6.75
"165",2020,"Brooklyn","BK0501","Cypress Hills",43256,21026,48.61,22230,51.39,34.9,29424,68.02,1170,2.7,6989,16.16,2697,6.23,2976,6.88
"166",2010,"Brooklyn","BK0502","East New York (North)",39109,17874,45.7,21235,54.3,29.4,14211,36.34,453,1.16,22974,58.74,648,1.66,823,2.1
"167",2011,"Brooklyn","BK0502","East New York (North)",39480,18082,45.8,21398,54.2,29.8,14394,36.46,509,1.29,22812,57.78,762,1.93,1003,2.54
