name,keep
CMPLNT_NUM,0 
ADDR_PCT_CD,0
BORO,0
CMPLNT_FR_DT,0
CMPLNT_FR_TM,0
CMPLNT_TO_DT,0
CMPLNT_TO_TM,0
CRM_ATPT_CPTD_CD,1
HADEVELOPT,0
HOUSING_PSA,0
JURISDICTION_CODE,1
JURIS_DESC,0
KY_CD,1
LAW_CAT_CD,1
LOC_OF_OCCUR_DESC,1
OFNS_DESC,0
PARKS_NM,0
PATROL_BORO,0
PD_CD,0
PD_DESC,0
PREM_TYP_DESC,1
RPT_DT,0
STATION_NAME,0
SUSP_AGE_GROUP,1
SUSP_RACE,1
SUSP_SEX,1
TRANSIT_DISTRICT,0
VIC_AGE_GROUP,1
VIC_RACE,1
VIC_SEX,1
X_COORD_CD,0
Y_COORD_CD,0
Latitude,0
Longitude,0
MONTH,1
NTA2020,1
