name,keep
ARREST_KEY,0
ARREST_DATE,1
PD_CD,0
PD_DESC,0
KY_CD,1
OFNS_DESC,0
LAW_CODE,0
LAW_CAT_CD,1
ARREST_BORO,0
ARREST_PRECINCT,0
JURISDICTION_CODE,0
AGE_GROUP,1
PERP_SEX,1
PERP_RACE,1
X_COORD_CD,0
Y_COORD_CD,0
Latitude,0
Longitude,0
NTA2020,1
CTLabel,1
